Título,,,,
H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,No usa gas natural,   9 558,"100,00%","100,00%"
,Total,   9 558,"100,00%","100,00%"
,,,,
,No Aplica :,    52,,
,,,,
,AREA # 0212,"Áncash, provincia: Huaylas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   15 010,"100,00%","100,00%"
,Total,   15 010,"100,00%","100,00%"
,,,,
,No Aplica :,    79,,
,,,,
,AREA # 0213,"Áncash, provincia: Mariscal Luzuriaga",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   6 133,"100,00%","100,00%"
,Total,   6 133,"100,00%","100,00%"
,,,,
,No Aplica :,    15,,
,,,,
,AREA # 0214,"Áncash, provincia: Ocros",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   2 617,"100,00%","100,00%"
,Total,   2 617,"100,00%","100,00%"
,,,,
,No Aplica :,    22,,
,,,,
,AREA # 0215,"Áncash, provincia: Pallasca",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   6 812,"100,00%","100,00%"
,Total,   6 812,"100,00%","100,00%"
,,,,
,No Aplica :,    38,,
,,,,
,AREA # 0216,"Áncash, provincia: Pomabamba",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   7 286,"100,00%","100,00%"
,Total,   7 286,"100,00%","100,00%"
,,,,
,No Aplica :,    24,,
,,,,
,AREA # 0217,"Áncash, provincia: Recuay",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   5 423,"100,00%","100,00%"
