Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,"Río, acequia, lago, laguna",   5 460,"19,52%","99,47%"
,Otro,    111,"0,40%","99,87%"
,Vecino,    36,"0,13%","100,00%"
,Total,   27 967,"100,00%","100,00%"
,,,,
,No Aplica :,   4 871,,
,,,,
,AREA # 1603,"Loreto, provincia: Loreto",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 471,"10,85%","10,85%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    307,"2,27%","13,12%"
,Pilón o pileta de uso público,   1 859,"13,72%","26,84%"
,Camión - cisterna u otro similar,    487,"3,59%","30,43%"
,Pozo (agua subterránea),   2 604,"19,21%","49,65%"
,Manantial o puquio,    9,"0,07%","49,71%"
,"Río, acequia, lago, laguna",   6 365,"46,97%","96,68%"
,Otro,    422,"3,11%","99,79%"
,Vecino,    28,"0,21%","100,00%"
,Total,   13 552,"100,00%","100,00%"
,,,,
,No Aplica :,   1 878,,
,,,,
,AREA # 1604,"Loreto, provincia: Mariscal Ramón Castilla",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 608,"15,52%","15,52%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    411,"3,97%","19,49%"
,Pilón o pileta de uso público,    504,"4,87%","24,36%"
,Camión - cisterna u otro similar,    9,"0,09%","24,44%"
,Pozo (agua subterránea),   1 982,"19,13%","43,58%"
,Manantial o puquio,    13,"0,13%","43,70%"
,"Río, acequia, lago, laguna",   5 101,"49,24%","92,94%"
,Otro,    677,"6,54%","99,48%"
,Vecino,    54,"0,52%","100,00%"
,Total,   10 359,"100,00%","100,00%"
,,,,
,No Aplica :,   2 967,,
,,,,
,AREA # 1605,"Loreto, provincia: Requena",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   2 406,"19,86%","19,86%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    182,"1,50%","21,36%"
,Pilón o pileta de uso público,    183,"1,51%","22,87%"
,Camión - cisterna u otro similar,    195,"1,61%","24,48%"
,Pozo (agua subterránea),   3 711,"30,63%","55,11%"
,Manantial o puquio,    2,"0,02%","55,13%"
,"Río, acequia, lago, laguna",   5 127,"42,32%","97,44%"
,Otro,    282,"2,33%","99,77%"
,Vecino,    28,"0,23%","100,00%"
,Total,   12 116,"100,00%","100,00%"
,,,,
,No Aplica :,   1 709,,
,,,,
,AREA # 1606,"Loreto, provincia: Ucayali",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   3 513,"29,38%","29,38%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    918,"7,68%","37,06%"
,Pilón o pileta de uso público,    713,"5,96%","43,02%"
,Camión - cisterna u otro similar,    333,"2,79%","45,81%"
,Pozo (agua subterránea),   1 940,"16,23%","62,04%"
,Manantial o puquio,    7,"0,06%","62,09%"
,"Río, acequia, lago, laguna",   4 335,"36,26%","98,35%"
,Otro,    66,"0,55%","98,90%"
,Vecino,    131,"1,10%","100,00%"
,Total,   11 956,"100,00%","100,00%"
,,,,
,No Aplica :,   1 887,,
,,,,
,AREA # 1607,"Loreto, provincia: Datem del Marañón",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,    496,"4,93%","4,93%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    117,"1,16%","6,09%"
,Pilón o pileta de uso público,    807,"8,01%","14,10%"
,Camión - cisterna u otro similar,    102,"1,01%","15,11%"
,Pozo (agua subterránea),   3 957,"39,29%","54,40%"
,Manantial o puquio,    104,"1,03%","55,44%"
,"Río, acequia, lago, laguna",   4 090,"40,61%","96,05%"
,Otro,    388,"3,85%","99,90%"
,Vecino,    10,"0,10%","100,00%"
,Total,   10 071,"100,00%","100,00%"
,,,,
,No Aplica :,   1 578,,
,,,,
,AREA # 1608,"Loreto, provincia: Putumayo",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,    78,"4,59%","4,59%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    15,"0,88%","5,48%"
,Camión - cisterna u otro similar,    3,"0,18%","5,65%"
,Pozo (agua subterránea),    471,"27,74%","33,39%"
,Manantial o puquio,    1,"0,06%","33,45%"
,"Río, acequia, lago, laguna",    989,"58,24%","91,70%"
,Otro,    140,"8,24%","99,94%"
,Vecino,    1,"0,06%","100,00%"
,Total,   1 698,"100,00%","100,00%"
,,,,
,No Aplica :,    511,,
,,,,
,AREA # 1701,Madre de Dios prov. de Tambopata,,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   20 280,"65,61%","65,61%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 693,"11,95%","77,55%"
,Pilón o pileta de uso público,    923,"2,99%","80,54%"
,Camión - cisterna u otro similar,   1 883,"6,09%","86,63%"
,Pozo (agua subterránea),   2 932,"9,49%","96,12%"
,Manantial o puquio,    131,"0,42%","96,54%"
,"Río, acequia, lago, laguna",    903,"2,92%","99,46%"
,Otro,    120,"0,39%","99,85%"
,Vecino,    46,"0,15%","100,00%"
,Total,   30 911,"100,00%","100,00%"
,,,,
,No Aplica :,   9 158,,
,,,,
,AREA # 1702,Madre de Dios prov. de Manu,,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 542,"28,08%","28,08%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 282,"23,34%","51,42%"
,Pilón o pileta de uso público,    273,"4,97%","56,39%"
,Camión - cisterna u otro similar,    141,"2,57%","58,96%"
,Pozo (agua subterránea),   1 202,"21,89%","80,84%"
,Manantial o puquio,    155,"2,82%","83,67%"
,"Río, acequia, lago, laguna",    800,"14,57%","98,23%"
,Otro,    67,"1,22%","99,45%"
,Vecino,    30,"0,55%","100,00%"
,Total,   5 492,"100,00%","100,00%"
,,,,
,No Aplica :,   1 916,,
,,,,
,AREA # 1703,Madre de Dios prov. de Tahuamanu,,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 356,"45,53%","45,53%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    515,"17,29%","62,83%"
,Pilón o pileta de uso público,    75,"2,52%","65,35%"
,Camión - cisterna u otro similar,    19,"0,64%","65,98%"
,Pozo (agua subterránea),    789,"26,49%","92,48%"
,Manantial o puquio,    64,"2,15%","94,63%"
,"Río, acequia, lago, laguna",    139,"4,67%","99,29%"
,Otro,    9,"0,30%","99,60%"
,Vecino,    12,"0,40%","100,00%"
,Total,   2 978,"100,00%","100,00%"
,,,,
,No Aplica :,   1 516,,
,,,,
,AREA # 1801,"Moquegua, provincia: Mariscal Nieto",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   20 312,"74,00%","74,00%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 315,"4,79%","78,80%"
,Pilón o pileta de uso público,   3 649,"13,29%","92,09%"
,Camión - cisterna u otro similar,    416,"1,52%","93,61%"
,Pozo (agua subterránea),    659,"2,40%","96,01%"
,Manantial o puquio,    268,"0,98%","96,98%"
,"Río, acequia, lago, laguna",    577,"2,10%","99,09%"
,Otro,    94,"0,34%","99,43%"
,Vecino,    157,"0,57%","100,00%"
,Total,   27 447,"100,00%","100,00%"
,,,,
,No Aplica :,   13 621,,
,,,,
,AREA # 1802,"Moquegua, provincia: General Sánchez Cerro",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   2 094,"33,68%","33,68%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    257,"4,13%","37,81%"
,Pilón o pileta de uso público,    122,"1,96%","39,77%"
,Camión - cisterna u otro similar,    46,"0,74%","40,51%"
,Pozo (agua subterránea),   2 447,"39,35%","79,86%"
,Manantial o puquio,    874,"14,06%","93,92%"
,"Río, acequia, lago, laguna",    350,"5,63%","99,55%"
,Otro,    18,"0,29%","99,84%"
,Vecino,    10,"0,16%","100,00%"
,Total,   6 218,"100,00%","100,00%"
,,,,
,No Aplica :,   5 477,,
,,,,
,AREA # 1803,"Moquegua, provincia: Ilo",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   18 478,"81,07%","81,07%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 196,"5,25%","86,32%"
,Pilón o pileta de uso público,   2 353,"10,32%","96,64%"
,Camión - cisterna u otro similar,    684,"3,00%","99,64%"
,Pozo (agua subterránea),    35,"0,15%","99,80%"
,"Río, acequia, lago, laguna",    17,"0,07%","99,87%"
,Otro,    14,"0,06%","99,93%"
,Vecino,    15,"0,07%","100,00%"
,Total,   22 792,"100,00%","100,00%"
,,,,
,No Aplica :,   7 358,,
,,,,
,AREA # 1901,"Pasco, provincia: Pasco",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   16 208,"53,23%","53,23%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   8 016,"26,33%","79,56%"
,Pilón o pileta de uso público,   1 268,"4,16%","83,73%"
,Camión - cisterna u otro similar,    481,"1,58%","85,31%"
,Pozo (agua subterránea),   2 112,"6,94%","92,24%"
,Manantial o puquio,    834,"2,74%","94,98%"
,"Río, acequia, lago, laguna",    842,"2,77%","97,75%"
,Otro,    448,"1,47%","99,22%"
,Vecino,    238,"0,78%","100,00%"
,Total,   30 447,"100,00%","100,00%"
,,,,
,No Aplica :,   20 116,,
,,,,
,AREA # 1902,"Pasco, provincia: Daniel Alcides Carrión",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   2 140,"20,83%","20,83%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 770,"26,96%","47,78%"
,Pilón o pileta de uso público,   1 616,"15,73%","63,51%"
,Camión - cisterna u otro similar,    5,"0,05%","63,56%"
,Pozo (agua subterránea),   2 153,"20,95%","84,51%"
,Manantial o puquio,   1 380,"13,43%","97,94%"
,"Río, acequia, lago, laguna",    154,"1,50%","99,44%"
,Otro,    31,"0,30%","99,74%"
,Vecino,    27,"0,26%","100,00%"
,Total,   10 276,"100,00%","100,00%"
,,,,
,No Aplica :,   4 084,,
,,,,
,AREA # 1903,"Pasco, provincia: Oxapampa",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   8 454,"36,42%","36,42%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 225,"13,89%","50,31%"
,Pilón o pileta de uso público,    865,"3,73%","54,03%"
,Camión - cisterna u otro similar,    33,"0,14%","54,18%"
,Pozo (agua subterránea),   5 263,"22,67%","76,85%"
,Manantial o puquio,   1 640,"7,06%","83,91%"
,"Río, acequia, lago, laguna",   3 620,"15,59%","99,50%"
,Otro,    52,"0,22%","99,73%"
,Vecino,    63,"0,27%","100,00%"
,Total,   23 215,"100,00%","100,00%"
,,,,
,No Aplica :,   6 536,,
,,,,
,AREA # 2001,"Piura, provincia: Piura",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   128 943,"66,50%","66,50%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   12 207,"6,30%","72,80%"
,Pilón o pileta de uso público,   12 421,"6,41%","79,20%"
,Camión - cisterna u otro similar,   13 000,"6,70%","85,91%"
,Pozo (agua subterránea),   4 851,"2,50%","88,41%"
,Manantial o puquio,    253,"0,13%","88,54%"
,"Río, acequia, lago, laguna",   17 151,"8,85%","97,39%"
,Otro,   2 085,"1,08%","98,46%"
,Vecino,   2 980,"1,54%","100,00%"
,Total,   193 891,"100,00%","100,00%"
,,,,
,No Aplica :,   33 370,,
,,,,
,AREA # 2002,"Piura, provincia: Ayabaca",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   7 620,"25,01%","25,01%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   5 751,"18,88%","43,89%"
,Pilón o pileta de uso público,   3 164,"10,39%","54,28%"
,Camión - cisterna u otro similar,    18,"0,06%","54,34%"
,Pozo (agua subterránea),   6 095,"20,01%","74,35%"
,Manantial o puquio,   3 064,"10,06%","84,41%"
,"Río, acequia, lago, laguna",   4 590,"15,07%","99,47%"
,Otro,    37,"0,12%","99,60%"
,Vecino,    123,"0,40%","100,00%"
,Total,   30 462,"100,00%","100,00%"
,,,,
,No Aplica :,   5 222,,
,,,,
,AREA # 2003,"Piura, provincia: Huancabamba",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   7 756,"24,80%","24,80%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   6 682,"21,37%","46,17%"
,Pilón o pileta de uso público,   5 539,"17,71%","63,89%"
,Camión - cisterna u otro similar,    34,"0,11%","64,00%"
,Pozo (agua subterránea),   1 561,"4,99%","68,99%"
,Manantial o puquio,   4 159,"13,30%","82,29%"
,"Río, acequia, lago, laguna",   5 321,"17,02%","99,31%"
,Otro,    134,"0,43%","99,73%"
,Vecino,    83,"0,27%","100,00%"
,Total,   31 269,"100,00%","100,00%"
,,,,
,No Aplica :,   7 729,,
,,,,
,AREA # 2004,"Piura, provincia: Morropón",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   28 376,"63,14%","63,14%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   4 076,"9,07%","72,21%"
,Pilón o pileta de uso público,   1 946,"4,33%","76,54%"
,Camión - cisterna u otro similar,   2 204,"4,90%","81,44%"
,Pozo (agua subterránea),   5 327,"11,85%","93,29%"
,Manantial o puquio,   1 261,"2,81%","96,10%"
,"Río, acequia, lago, laguna",    998,"2,22%","98,32%"
,Otro,    239,"0,53%","98,85%"
,Vecino,    517,"1,15%","100,00%"
,Total,   44 944,"100,00%","100,00%"
,,,,
,No Aplica :,   10 352,,
,,,,
,AREA # 2005,"Piura, provincia: Paita",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   22 789,"67,79%","67,79%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 480,"4,40%","72,19%"
,Pilón o pileta de uso público,   1 071,"3,19%","75,38%"
,Camión - cisterna u otro similar,   6 391,"19,01%","94,39%"
,Pozo (agua subterránea),    173,"0,51%","94,90%"
,"Río, acequia, lago, laguna",    173,"0,51%","95,42%"
,Otro,    405,"1,20%","96,62%"
,Vecino,   1 136,"3,38%","100,00%"
,Total,   33 618,"100,00%","100,00%"
,,,,
,No Aplica :,   6 975,,
,,,,
,AREA # 2006,"Piura, provincia: Sullana",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   51 801,"65,82%","65,82%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   6 734,"8,56%","74,37%"
,Pilón o pileta de uso público,   4 301,"5,46%","79,84%"
,Camión - cisterna u otro similar,   8 335,"10,59%","90,43%"
,Pozo (agua subterránea),   1 491,"1,89%","92,32%"
,Manantial o puquio,    22,"0,03%","92,35%"
,"Río, acequia, lago, laguna",   3 484,"4,43%","96,78%"
,Otro,   1 082,"1,37%","98,15%"
,Vecino,   1 454,"1,85%","100,00%"
,Total,   78 704,"100,00%","100,00%"
,,,,
,No Aplica :,   12 613,,
,,,,
,AREA # 2007,"Piura, provincia: Talara",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   27 556,"75,32%","75,32%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 416,"9,34%","84,65%"
,Pilón o pileta de uso público,   1 614,"4,41%","89,06%"
,Camión - cisterna u otro similar,   2 049,"5,60%","94,66%"
,Pozo (agua subterránea),    90,"0,25%","94,91%"
,Manantial o puquio,    4,"0,01%","94,92%"
,"Río, acequia, lago, laguna",    43,"0,12%","95,04%"
,Otro,    909,"2,48%","97,52%"
,Vecino,    906,"2,48%","100,00%"
,Total,   36 587,"100,00%","100,00%"
,,,,
,No Aplica :,   6 111,,
,,,,
,AREA # 2008,"Piura, provincia: Sechura",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   13 409,"67,73%","67,73%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    849,"4,29%","72,02%"
,Pilón o pileta de uso público,   1 604,"8,10%","80,12%"
,Camión - cisterna u otro similar,   2 468,"12,47%","92,59%"
,Pozo (agua subterránea),    544,"2,75%","95,34%"
,Manantial o puquio,    1,"0,01%","95,34%"
,"Río, acequia, lago, laguna",    20,"0,10%","95,44%"
,Otro,    191,"0,96%","96,41%"
,Vecino,    711,"3,59%","100,00%"
,Total,   19 797,"100,00%","100,00%"
,,,,
,No Aplica :,   7 948,,
,,,,
,AREA # 2101,"Puno, provincia: Puno",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   35 338,"49,84%","49,84%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   5 365,"7,57%","57,40%"
,Pilón o pileta de uso público,   4 570,"6,45%","63,85%"
,Camión - cisterna u otro similar,    331,"0,47%","64,32%"
,Pozo (agua subterránea),   21 427,"30,22%","94,54%"
,Manantial o puquio,   1 560,"2,20%","96,74%"
,"Río, acequia, lago, laguna",   1 610,"2,27%","99,01%"
,Otro,    282,"0,40%","99,40%"
,Vecino,    422,"0,60%","100,00%"
,Total,   70 905,"100,00%","100,00%"
,,,,
,No Aplica :,   37 830,,
,,,,
,AREA # 2102,"Puno, provincia: Azángaro",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   9 532,"25,58%","25,58%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 758,"7,40%","32,99%"
,Pilón o pileta de uso público,   3 510,"9,42%","42,41%"
,Camión - cisterna u otro similar,    56,"0,15%","42,56%"
,Pozo (agua subterránea),   18 079,"48,52%","91,08%"
,Manantial o puquio,   1 516,"4,07%","95,15%"
,"Río, acequia, lago, laguna",   1 520,"4,08%","99,23%"
,Otro,    109,"0,29%","99,52%"
,Vecino,    179,"0,48%","100,00%"
,Total,   37 259,"100,00%","100,00%"
,,,,
,No Aplica :,   21 377,,
,,,,
,AREA # 2103,"Puno, provincia: Carabaya",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   6 793,"28,48%","28,48%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 344,"14,02%","42,50%"
,Pilón o pileta de uso público,   1 430,"6,00%","48,50%"
,Pozo (agua subterránea),   4 434,"18,59%","67,09%"
,Manantial o puquio,   2 477,"10,39%","77,48%"
,"Río, acequia, lago, laguna",   5 197,"21,79%","99,27%"
,Otro,    126,"0,53%","99,79%"
,Vecino,    49,"0,21%","100,00%"
,Total,   23 850,"100,00%","100,00%"
,,,,
,No Aplica :,   7 830,,
,,,,
,AREA # 2104,"Puno, provincia: Chucuito",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   8 470,"23,57%","23,57%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   5 458,"15,19%","38,75%"
,Pilón o pileta de uso público,   4 507,"12,54%","51,29%"
,Camión - cisterna u otro similar,    112,"0,31%","51,60%"
,Pozo (agua subterránea),   13 823,"38,46%","90,06%"
,Manantial o puquio,    991,"2,76%","92,82%"
,"Río, acequia, lago, laguna",   2 117,"5,89%","98,71%"
,Otro,    153,"0,43%","99,13%"
,Vecino,    312,"0,87%","100,00%"
,Total,   35 943,"100,00%","100,00%"
,,,,
,No Aplica :,   15 444,,
,,,,
,AREA # 2105,"Puno, provincia: El Collao",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   5 337,"20,81%","20,81%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 197,"4,67%","25,48%"
,Pilón o pileta de uso público,   1 781,"6,95%","32,43%"
,Camión - cisterna u otro similar,    61,"0,24%","32,67%"
,Pozo (agua subterránea),   15 857,"61,84%","94,51%"
,Manantial o puquio,    197,"0,77%","95,27%"
,"Río, acequia, lago, laguna",   1 043,"4,07%","99,34%"
,Otro,    85,"0,33%","99,67%"
,Vecino,    84,"0,33%","100,00%"
,Total,   25 642,"100,00%","100,00%"
,,,,
,No Aplica :,   21 195,,
,,,,
,AREA # 2106,"Puno, provincia: Huancané",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   7 212,"31,32%","31,32%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 080,"9,03%","40,35%"
,Pilón o pileta de uso público,   2 935,"12,74%","53,09%"
,Camión - cisterna u otro similar,    28,"0,12%","53,21%"
,Pozo (agua subterránea),   9 603,"41,70%","94,91%"
,Manantial o puquio,    452,"1,96%","96,87%"
,"Río, acequia, lago, laguna",    443,"1,92%","98,80%"
,Otro,    68,"0,30%","99,09%"
,Vecino,    209,"0,91%","100,00%"
,Total,   23 030,"100,00%","100,00%"
,,,,
,No Aplica :,   15 515,,
,,,,
,AREA # 2107,"Puno, provincia: Lampa",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   4 694,"30,71%","30,71%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    975,"6,38%","37,08%"
,Pilón o pileta de uso público,    708,"4,63%","41,72%"
,Camión - cisterna u otro similar,    16,"0,10%","41,82%"
,Pozo (agua subterránea),   6 455,"42,23%","84,05%"
,Manantial o puquio,    971,"6,35%","90,40%"
,"Río, acequia, lago, laguna",   1 400,"9,16%","99,56%"
,Otro,    32,"0,21%","99,76%"
,Vecino,    36,"0,24%","100,00%"
,Total,   15 287,"100,00%","100,00%"
,,,,
,No Aplica :,   9 210,,
,,,,
,AREA # 2108,"Puno, provincia: Melgar",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   10 302,"49,39%","49,39%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 822,"8,74%","58,13%"
,Pilón o pileta de uso público,   1 592,"7,63%","65,76%"
,Camión - cisterna u otro similar,    40,"0,19%","65,95%"
,Pozo (agua subterránea),   4 475,"21,45%","87,41%"
,Manantial o puquio,    803,"3,85%","91,26%"
,"Río, acequia, lago, laguna",   1 626,"7,80%","99,05%"
,Otro,    96,"0,46%","99,51%"
,Vecino,    102,"0,49%","100,00%"
,Total,   20 858,"100,00%","100,00%"
,,,,
,No Aplica :,   13 817,,
,,,,
,AREA # 2109,"Puno, provincia: Moho",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   4 622,"51,83%","51,83%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 293,"25,71%","77,54%"
,Pilón o pileta de uso público,    575,"6,45%","83,99%"
,Camión - cisterna u otro similar,    4,"0,04%","84,03%"
,Pozo (agua subterránea),   1 108,"12,42%","96,46%"
,Manantial o puquio,    134,"1,50%","97,96%"
,"Río, acequia, lago, laguna",    115,"1,29%","99,25%"
,Otro,    17,"0,19%","99,44%"
,Vecino,    50,"0,56%","100,00%"
,Total,   8 918,"100,00%","100,00%"
,,,,
,No Aplica :,   8 937,,
,,,,
,AREA # 2110,"Puno, provincia: San Antonio de Putina",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   3 250,"26,39%","26,39%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    680,"5,52%","31,91%"
,Pilón o pileta de uso público,    949,"7,71%","39,62%"
,Camión - cisterna u otro similar,   2 707,"21,98%","61,60%"
,Pozo (agua subterránea),   2 784,"22,61%","84,21%"
,Manantial o puquio,    666,"5,41%","89,61%"
,"Río, acequia, lago, laguna",    725,"5,89%","95,50%"
,Otro,    291,"2,36%","97,86%"
,Vecino,    263,"2,14%","100,00%"
,Total,   12 315,"100,00%","100,00%"
,,,,
,No Aplica :,   12 193,,
,,,,
,AREA # 2111,"Puno, provincia: San Román",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   42 418,"53,58%","53,58%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 071,"2,62%","56,20%"
,Pilón o pileta de uso público,   2 197,"2,78%","58,97%"
,Camión - cisterna u otro similar,    95,"0,12%","59,09%"
,Pozo (agua subterránea),   31 798,"40,17%","99,26%"
,Manantial o puquio,    126,"0,16%","99,42%"
,"Río, acequia, lago, laguna",    142,"0,18%","99,60%"
,Otro,    125,"0,16%","99,76%"
,Vecino,    192,"0,24%","100,00%"
,Total,   79 164,"100,00%","100,00%"
,,,,
,No Aplica :,   36 178,,
,,,,
,AREA # 2112,"Puno, provincia: Sandia",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   3 236,"16,66%","16,66%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   2 628,"13,53%","30,19%"
,Pilón o pileta de uso público,   2 076,"10,69%","40,88%"
,Camión - cisterna u otro similar,    11,"0,06%","40,93%"
,Pozo (agua subterránea),   5 177,"26,65%","67,58%"
,Manantial o puquio,   2 536,"13,06%","80,64%"
,"Río, acequia, lago, laguna",   3 329,"17,14%","97,78%"
,Otro,    348,"1,79%","99,57%"
,Vecino,    84,"0,43%","100,00%"
,Total,   19 425,"100,00%","100,00%"
,,,,
,No Aplica :,   11 997,,
,,,,
,AREA # 2113,"Puno, provincia: Yunguyo",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   6 700,"47,60%","47,60%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 904,"27,74%","75,34%"
,Pilón o pileta de uso público,   1 062,"7,55%","82,88%"
,Camión - cisterna u otro similar,    35,"0,25%","83,13%"
,Pozo (agua subterránea),   1 726,"12,26%","95,40%"
,Manantial o puquio,    82,"0,58%","95,98%"
,"Río, acequia, lago, laguna",    256,"1,82%","97,80%"
,Otro,    110,"0,78%","98,58%"
,Vecino,    200,"1,42%","100,00%"
,Total,   14 075,"100,00%","100,00%"
,,,,
,No Aplica :,   8 683,,
,,,,
,AREA # 2201,"San Martín, provincia: Moyobamba",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   22 560,"69,89%","69,89%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 842,"11,90%","81,80%"
,Pilón o pileta de uso público,    927,"2,87%","84,67%"
,Camión - cisterna u otro similar,    14,"0,04%","84,71%"
,Pozo (agua subterránea),   2 756,"8,54%","93,25%"
,Manantial o puquio,    336,"1,04%","94,29%"
,"Río, acequia, lago, laguna",   1 594,"4,94%","99,23%"
,Otro,    188,"0,58%","99,81%"
