Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Pilón o pileta de uso público,    382,"1,35%","87,83%"
,Camión - cisterna u otro similar,    844,"2,99%","90,81%"
,Pozo (agua subterránea),   2 158,"7,63%","98,45%"
,Manantial o puquio,    1,"0,00%","98,45%"
,"Río, acequia, lago, laguna",    111,"0,39%","98,84%"
,Otro,    96,"0,34%","99,18%"
,Vecino,    231,"0,82%","100,00%"
,Total,   28 273,"100,00%","100,00%"
,,,,
,No Aplica :,   8 884,,
,,,,
,AREA # 1308,"La Lbertad, provincia: Pataz",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   9 967,"56,55%","56,55%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 761,"21,34%","77,89%"
,Pilón o pileta de uso público,    636,"3,61%","81,50%"
,Camión - cisterna u otro similar,    9,"0,05%","81,55%"
,Pozo (agua subterránea),   1 405,"7,97%","89,52%"
,Manantial o puquio,    324,"1,84%","91,36%"
,"Río, acequia, lago, laguna",   1 404,"7,97%","99,32%"
,Otro,    45,"0,26%","99,58%"
,Vecino,    74,"0,42%","100,00%"
,Total,   17 625,"100,00%","100,00%"
,,,,
,No Aplica :,   4 767,,
,,,,
,AREA # 1309,"La Lbertad, provincia: Sánchez Carrión",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   17 895,"49,20%","49,20%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   5 752,"15,81%","65,01%"
,Pilón o pileta de uso público,   3 047,"8,38%","73,39%"
,Camión - cisterna u otro similar,    174,"0,48%","73,87%"
,Pozo (agua subterránea),   6 319,"17,37%","91,24%"
,Manantial o puquio,   1 378,"3,79%","95,03%"
,"Río, acequia, lago, laguna",   1 465,"4,03%","99,05%"
,Otro,    115,"0,32%","99,37%"
,Vecino,    229,"0,63%","100,00%"
,Total,   36 374,"100,00%","100,00%"
,,,,
,No Aplica :,   8 749,,
,,,,
,AREA # 1310,"La Lbertad, provincia: Santiago de Chuco",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   6 987,"51,23%","51,23%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 640,"12,02%","63,25%"
